"День недели","Время","Пара/Предмет"
"Понедельник","08.00-10.20","Латинский язык (нечетная неделя)"
"","10.40-13.00","История России"
"Вторник","08.00-10.20","Физика, математика"
"","10.40-12.20","Основы российской государственности"
"Среда","10.40-13.00","Иностранный язык"
"","13.20-15.00","Экономика"
"Четверг","08.30-10.10","Лекция"
"","10.40-13.00","Химия"
"","13.40-16.00","Биология"
"Пятница","10.40-12.10","Физическая культура и спорт (СОК)"
"","13.00-15.20","Анатомия"
